Subject, Start Date, Start Time, Aim, Finished result 
出国事项调研, 2017-04-04, 09:00:00
cooking, 2017-04-04, 11:00:00
eating, 2017-04-04, 11:30:00
transport, 2017-04-04, 13:00:00
liner清理到OneNote, 2017-04-04, 14:30:00
沟通的艺术, 2017-04-04, 15:30:00
eating, 2017-04-04, 17:00:00
英语口语, 2017-04-04, 19:00:00
workflowy, 2017-04-04, 20:00:00
think fast and slow, 2017-04-04, 21:00:00
A4-to-onenote, 2017-04-04, 22:00:00
verb advantages, 2017-04-05, 09:00:00,学习一单元,fail
出国事项调研, 2017-04-05, 09:30:00,比较两个学校得到两个学校的优劣,finished
eating, 2017-04-05, 11:30:00,午饭,finished
训练英文文章要点提取, 2017-04-05, 13:00:00,liner总结,20%
毕设算法研究, 2017-04-05, 14:00:00,阅读源码、理解model处理方法,60%
os mooc, 2017-04-05, 15:30:00,lab3题目阅读,finished
exercise, 2017-04-05, 16:30:00,keep,failed
eating, 2017-04-05, 17:30:00,晚饭,finished
英语口语, 2017-04-05, 19:00:00,himym s3e2,failed
沟通的艺术, 2017-04-05, 20:00:00,总结ch9,failed
think fast and slow, 2017-04-05, 21:30:00,总结到ch9,failed
verb advantages, 2017-04-06, 09:00:00,学习一单元,fail
os mooc, 2017-04-06, 09:30:00,lab3完成,完成
eating, 2017-04-06, 11:30:00,午饭,完成
训练英文文章要点提取, 2017-04-06, 13:00:00,liner总结,failed
毕设算法研究, 2017-04-06, 14:00:00,研究算法,failed
回测系统设计, 2017-04-06, 15:30:00,完成一笔交易,failed
eating, 2017-04-06, 17:30:00,晚饭,完成
英语口语, 2017-04-06, 19:00:00,himym s3e2,failed
沟通的艺术, 2017-04-06, 20:00:00,总结ch10,完成
出国事项调研, 2017-04-06, 21:30:00,了解信息,完成
verb advantages, 2017-04-07, 09:00:00
回测系统设计, 2017-04-07, 09:30:00
毕设算法研究, 2017-04-07, 10:30:00
eating, 2017-04-07, 11:30:00
训练英文文章要点提取, 2017-04-07, 13:00:00
think fast and slow, 2017-04-07, 14:00:00
hihocoder, 2017-04-07, 15:30:00
exercise, 2017-04-07, 16:30:00
eating, 2017-04-07, 17:30:00
英语口语, 2017-04-07, 19:00:00
沟通的艺术, 2017-04-07, 20:00:00
python科学计算, 2017-04-07, 21:30:00
os mooc, 2017-04-08, 09:00:00
python科学计算, 2017-04-08, 09:30:00
eating, 2017-04-08, 11:30:00
训练英文文章要点提取, 2017-04-08, 13:00:00
think fast and slow, 2017-04-08, 14:00:00
meeting, 2017-04-08, 14:30:00
hihocoder, 2017-04-08, 15:00:00
os mooc, 2017-04-08, 16:30:00
eating, 2017-04-08, 17:30:00
英语口语, 2017-04-08, 19:00:00
workflowy, 2017-04-08, 20:00:00
沟通的艺术, 2017-04-08, 21:00:00
A4-to-onenote, 2017-04-08, 22:00:00
